Time (s),ax_body (m/s2),ay_body (m/s2),az_body (m/s2),wx_body (rad/s2),wy_body (rad/s2),wz_body (rad/s2),x_actual (m),y_actual (m),z_actual (m)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000002181523379
0.001,-2.0183145701430759e-19,6.224386963081301e-39,4.363046758086144,6.681911775230489e-52,9.25185853854297e-17,1.233581138472396e-16,3.2775240084990394e-25,1.010772949443714e-44,2.0000087246849705
0.002,5.0401380546982576e-20,-4.50939824074281e-38,4.360229667239162,2.6727647100921956e-51,9.25185853854297e-17,1.233581138472396e-16,1.9663178332976514e-24,1.212745673882191e-43,2.0000196266597805
0.003,9.582707989137435e-19,-2.6903160309265205e-37,4.357396769020889,5.345529420184391e-51,9.25185853854297e-17,1.233581138472396e-16,6.226048820680354e-24,5.759847013513908e-43,2.000034884606952
0.004,1.8661416898591163e-18,-6.049300420388473e-37,4.354547954231844,1.0691058840368783e-50,9.25185853854297e-17,1.233581138472396e-16,1.4416767786721105e-23,1.7782667780047714e-42,2.000054495669657
0.005,2.7740140635706327e-18,-1.0527892998743712e-36,4.351683112758677,1.0691058840368783e-50,9.25185853854297e-17,1.233581138472396e-16,2.784776258156985e-23,4.293594710354558e-42,2.000078456974985
0.006,3.681887930321097e-18,-1.6126093772328404e-36,4.3488021335663305,0.0,9.25185853854297e-17,1.233581138472396e-16,4.782778196649519e-23,8.848787368670109e-42,2.0001067656338325
0.007,4.5897633004693315e-18,-2.284390274753178e-36,4.345904904690089,1.0691058840368783e-50,9.25185853854297e-17,1.233581138472396e-16,7.566503105679446e-23,1.6331907141892885e-41,2.0001394187407886
0.008,5.497640184460897e-18,-3.068131993079656e-36,4.342991313227609,1.0691058840368783e-50,9.25185853854297e-17,1.233581138472396e-16,1.1266716672248503e-22,2.779215735650248e-41,2.000176413374024
0.009000000000000001,6.40551859282885e-18,-3.963834532861943e-36,4.340061245330892,0.0,9.25185853854297e-17,1.233581138472396e-16,1.6014129294633536e-22,4.4439778539601694e-41,2.000217746595175
0.01,7.313398536194487e-18,-4.971497894755152e-36,4.337114586198188,2.1382117680737565e-50,9.25185853854297e-17,1.233581138472396e-16,2.193939561387893e-22,6.764594351281677e-41,2.0002634154492296
0.011,8.221280025268093e-18,-6.091122079419881e-36,4.334151220065863,4.276423536147513e-50,9.25185853854297e-17,1.233581138472396e-16,2.917311404093338e-22,9.894265130344085e-41,2.000313416964409
0.012,9.129163070849709e-18,-7.322707087522268e-36,4.33117103020021,2.1382117680737565e-50,9.25185853854297e-17,1.233581138472396e-16,3.7845826279385387e-22,1.4002261985907907e-40,2.000367748152053
